
address_id,full_address,building_name,street_number,street_name,street_type,direction,city,met_area,province_or_state,postal_code,country_id,time_stamp
20091,"Latin Plaza Hub ( latincouver) 301- 68 Warer Street, Vancouver,  BC, V6B 1A4, CA",,,,,,,,BC,V6B 1A4,CA,2025-03-09 21:53:58.111699
20092,"Baza Dance Studios - 1309 Seymour Street, Vancouver, British Columbia,  BC, V6B 3P3, CA",,,,,,,,BC,V6B 3P3,CA,2025-03-09 21:54:50.701049
20095,"109–2675 Wilfert Road, Colwood at @Westshore Dance Studio,  BC, V9B 1H8, CA",,,,,,,,BC,V9B 1H8,CA,2025-03-09 21:59:29.940658
20094,"564 Yates ST, VICTORIA, BC, V8W1K8, CA",,564,Yates,ST,,VICTORIA,,BC,V8W1K8,CA,2025-03-09 21:59:55.128165
1165,"Garry Oak Room of the Fairfield Community Centre, 1335 Thurlow Rd,  BC, V8S 5K2, CA",Garry Oak Room,1335,Thurlow,Rd,,,,BC,V8S 5K2,CA,2025-03-09 17:24:16.439615
58,"The Wicket Hall (Strathcona Hotel), Victoria BC,  BC, V8W 2C2, CA",The Wicket Hall,,,,,Victoria,,BC,V8W 2C2,CA,
9,"Dance Victoria, 2780 Quadra St,  BC, V8T 4E7, CA",Dance Victoria,2780,Quadra,St,,,,BC,V8T 4E7,CA,2025-03-09 16:33:33.924886
1135,"James Bay at 111 Superior Street,  BC, V8V 1T2, CA",James Bay,111,Superior,Street,,Victoria,,BC,V8V 1T2,CA,
23,"345 Broadway W, VANCOUVER, BC, V5Y1P8, CA",,345,Broadway,W,,Vancouver,,BC,V5Y 1P8,CA,
4319,"Fairmont Empress, 721 Government Street, Victoria, British Columbia,  BC, V8W 1W5, CA",Fairmont Empress,721,Government,Street,,Victoria,,BC,V8W 1W5,CA,2025-03-07 08:51:18.336704
4284,"Ukrainian Cultural Centre, 3277 Douglas Street, Victoria, British Columbia, Canada,  BC, V8Z 3K9, CA",Ukrainian Cultural Centre,3277,Douglas,Street,,Victoria,,BC,V8Z 3K9,CA,2025-03-06 18:39:05.741977
4326,"Coda - 751 View Street (2nd floor, Hermmans Jazz Club), Victoria, BC, Canada,  BC, V8W 1J9, CA",Coda,751,View,Street,,Victoria,,BC,V8W 1J9,CA,2025-03-09 21:12:03.906003
4302,"Cameron Band Shell at Beacon Hill Park, Beacon Hill Park Circle Drive, Victoria, British Columbia,  BC, V8V 2P2, CA",Cameron Band Shell,,Beacon Hill Park Circle,Drive,,Victoria,,BC,V8V 2P2,CA,2025-03-06 20:50:50.769176
4307,"1 Alexander ST, VANCOUVER, BC, V6A1B2, CA",,1,Alexander,ST,,VANCOUVER,,BC,V6A1B2,CA,2025-03-07 08:38:59.749894
4305,"820 6th St, New Westminster, BC V3M 3S9, Canada,  BC, V3M3S9, CA",,820,6th,St,,New Westminster,,BC,V3M3S9,CA,2025-03-07 08:40:04.735196
4350,"7551 Westminster HWY, RICHMOND, BC, V6X1A3, CA",,7551,Westminster,HWY,,RICHMOND,,BC,V6X1A3,CA,2025-03-07 09:27:07.570538
4351,"Latin Plaza Hub (latincouver) 301-68 Warer Street, Vancouver,  BC, V6B 1A4, CA",Latin Plaza Hub,301-68,Warer,Street,,Vancouver,,BC,V6B 1A4,CA,2025-03-07 09:28:49.768348
4352,"Baza Dance Studios - 1304 Seymour St, Vancouver, BC V6B, Canada,  BC, V6B 3P3, CA",Baza Dance Studios,1304,Seymour,St,,Vancouver,,BC,V6B 3P3,CA,2025-03-07 09:29:23.088143
4353,"Baza Dance Studios - 1304 Seymour Street, Vancouver, British Columbia,  BC, V6B 3P3, CA",Baza Dance Studios,1304,Seymour,Street,,Vancouver,,BC,V6B 3P3,CA,2025-03-07 09:31:26.609504
